Organization,Description,Year
PLASMA-UMass,"PLASMA explores ways to make programming languages faster, safer, and easier.",2016
Plone Foundation,The premier python-based content management system,2016
Portland State University,Portland State University,2016
PRISM Model Checker,PRISM is a tool for formally verifying the correctness of probabilistic systems.,2016
Public Lab,Open hardware and software to help communities measure and analyze pollution,2016
Python Software Foundation,Python is programming language popular among scientists and more.,2016
QEMU,Open source machine emulator and virtualizer,2016
R project for statistical computing,R is a free software environment for statistical computing and graphics,2016
radare,radare is a reverse engineering framework and toolset,2016
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.",2016
Red Hen Lab,Red Hen Lab: Research on Multimodal Communication,2016
Robocomp,A framework for creating and modifying software components for robotics.,2016
RTEMS Project,Open Source Deterministic Real-Time Operating System for Embedded Systems,2016
Ruby,"The Ruby programming language, libraries, and tools",2016
Ruby Science Foundation,Tools for Scientific Computing in Ruby,2016
Sage Mathematical Software System,open-source mathematical software system,2016
Scala,The programming language where object-oriented meets functional.,2016
Scilab Enterprises,Numerical computation IDE for engineering and scientific applications,2016
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,2016
Shogun Machine Learning Toolbox,Unified and efficient Machine Learning.,2016
Sigmah,Open source information management software for international aid projects,2016
Soletta Project,Soletta Project is an open source framework for making IoT applications,2016
Stony Brook University Biomedical Informatics,Biomedical Informatics at Stony Brook University,2016
strace,linux syscall tracer,2016
Sugar Labs,Learning software for children,2016
Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.",2016
SymPy,Computer algebra system in Python,2016
"Systers, an Anita Borg Institute Community",Increasing the number of women in computing fields and technology.,2016
TARDIS-SN,Unravelling Cosmic Explosions in Style,2016
TEAMMATES @ National University of Singapore,An online feedback management system for education,2016
The Apertium Project,A free/open-source rule-based machine translation platform,2016
The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,2016
The Honeynet Project,The Honeynet Project - R&D for honeypot/honeynet technolgy and infosec research,2016
The Julia Language,The Julia Language,2016
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,2016
The LLVM Compiler Infrastructure,The LLVM Compiler Infrastructure,2016
The Monarch Initiative,An informatics platform for translational disease research,2016
The NetBSD Foundation,of course it runs NetBSD,2016
The STE||AR Group,The STE||AR Group - Shaping a Scalable Future,2016
The syslog-ng project,Open source log management solution with over a million users worldwide.,2016
The Tor Project,"Anonymity, privacy, and anti-censorship software",2016
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.",2016
Timelab Technologies Ltd.,We help scientists understanding information in time-series,2016
TimVideos.us,TimVideos.us - FOSS event recording & streaming software and hardware.,2016
Unitex/GramLab,"Unitex/GramLab is an open source, multilingual corpus processing suite",2016
"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & simulation of decentralized energy systems,2016
Vert.x,Vert.x is a tool-kit for building reactive applications on the JVM.,2016
VideoLAN / VLMC Project,"A non-linear video editor, based on VLC technology.",2016
vitrivr,vitrivr allows you to use novel methods to search in videos,2016
Wayland,Wayland is a protocol for windowing systems on both desktops and embedded,2016
Wikimedia Foundation,A global movement with a mission to bring free educational content to the world,2016
WSO2,Open Source Middleware Platform,2016
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",2016
Xapian Search Engine Library,"Fast, scalable and flexible search",2016
XWiki,Generic web platform for developing collaborative apps on the wiki paradigm,2016
Zulip Open Source Project,Zulip: Powerful open source group chat,2016
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,2017
AboutCode,"Open Source for Open Source: software license, origin and packages discovery",2017
AerospaceResearch.net,Making Space Together,2017
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",2017
